field_id,timestamp,frequency_hz,amplitude,wavelength,phase_offset,field_strength,resonance_type,coupling_factor,harmonic_series,field_geometry,coherence_level,interference_pattern,notes
RF001,2025-10-17T10:00:00Z,440.0,1.0,0.7727,0.0,1.0,fundamental,1.0,"440,880,1320,1760",sine_wave,high,constructive,"A4 musical note base frequency"
RF002,2025-10-17T10:01:00Z,432.0,0.95,0.7870,0.25π,0.98,natural,0.96,"432,864,1296,1728",sine_wave,high,constructive,"Natural tuning frequency"
RF003,2025-10-17T10:02:00Z,528.0,1.2,0.6439,0.5π,1.15,healing,1.08,"528,1056,1584,2112",sine_wave,very_high,constructive,"Love frequency / DNA repair"
RF004,2025-10-17T10:03:00Z,7.83,2.5,38314.5,0.0,2.8,schumann,1.25,"7.83,14.3,20.8,27.3",standing_wave,medium,resonant,"Earth's electromagnetic resonance"
RF005,2025-10-17T10:04:00Z,1.618,0.8,185571.8,0.618π,0.9,golden,0.95,"1.618,2.618,4.236,6.854",spiral_wave,high,constructive,"Golden ratio frequency"
RF006,2025-10-17T10:05:00Z,111.0,1.1,3063.9,0.33π,1.05,cellular,1.02,"111,222,333,444",sine_wave,medium,constructive,"Cell regeneration frequency"
RF007,2025-10-17T10:06:00Z,963.0,0.9,0.3535,0.75π,0.95,pineal,0.98,"963,1926,2889,3852",sine_wave,high,constructive,"Pineal gland activation"
RF008,2025-10-17T10:07:00Z,40.0,3.2,8510.0,0.0,3.5,gamma_brain,2.1,"40,80,120,160",square_wave,medium,beating,"Gamma brain wave frequency"
RF009,2025-10-17T10:08:00Z,10.0,2.0,34040.0,0.1π,2.2,alpha_brain,1.8,"10,20,30,40",sawtooth_wave,medium,modulated,"Alpha brain wave frequency"
RF010,2025-10-17T10:09:00Z,285.0,1.3,1193.0,0.4π,1.25,ut_queant,1.15,"285,570,855,1140",sine_wave,high,constructive,"Solfeggio healing frequency"
RF011,2025-10-17T10:10:00Z,174.0,0.7,1954.0,0.6π,0.85,pain_relief,0.92,"174,348,522,696",sine_wave,medium,constructive,"Natural anesthetic frequency"
RF012,2025-10-17T10:11:00Z,741.0,1.4,0.4589,0.8π,1.35,expression,1.22,"741,1482,2223,2964",sine_wave,high,constructive,"Throat chakra / expression"
RF013,2025-10-17T10:12:00Z,396.0,1.1,0.8585,0.2π,1.08,liberation,1.05,"396,792,1188,1584",sine_wave,high,constructive,"Liberation from fear frequency"
RF014,2025-10-17T10:13:00Z,852.0,0.95,0.3991,0.9π,1.02,intuition,0.99,"852,1704,2556,3408",sine_wave,very_high,constructive,"Third eye / intuition frequency"
RF015,2025-10-17T10:14:00Z,639.0,1.25,0.5322,0.35π,1.18,relationships,1.12,"639,1278,1917,2556",sine_wave,high,constructive,"Heart chakra / relationships"
